title,summary,page_length,categories,revision_count,creation_date,last_edit_date,pageviews_since_2015,last_revid,touched,external_links,lang_links,top_contributors,backlinks
Canadian Operational Support Command,"The Canadian Operational Support Command (CANOSCOM) (in French : Commandement du soutien opérationnel du Canada or COMSOCAN) was one of seven commands of the Canadian Forces (CF) from 2006 to 2012. The command was replaced by the Canadian Joint Operations Command in October 2012. As a separate command, CANOSCOM provided the CF with combat support (including logistics, military engineering, land equipment maintenance services, communications and information systems, health services and military police) and service for both domestic and international missions.",3158,Category:Articles containing Latin-language text;Category:Articles with short description;Category:Canadian Forces Operational Commands;Category:Military logistics of Canada;Category:Short description is different from Wikidata;Category:Short description matches Wikidata,57,2008-11-12T08:31:36Z,2024-02-10T13:03:35Z,20746,1205804696,2025-05-29T09:56:12Z,"http://collectionscanada.gc.ca/pam_archives/index.php?fuseaction=genitem.displayItem&lang=eng&rec_nbr=133126&rec_nbr_list=133126,835693,3935383,3935368,43004;http://www.canoscom-comsocan.forces.gc.ca/cu-uc/index-eng.asp;https://web.archive.org/web/20111008225929/http://www.canoscom-comsocan.forces.gc.ca/cu-uc/index-eng.asp;https://web.archive.org/web/20110706181644/http://www.canoscom-comsocan.forces.gc.ca/index-eng.asp",Canadian Operational Support Command;Commandement du soutien opérationnel du Canada;Командование оперативной поддержки Канады;Canadian Operational Support Command,InternetArchiveBot;Trappist the monk;Citation bot;Lyndaship;Tom.Reding;Buckshot06;Addbot;BrownHairedGirl;Oknazevad;Indefatigable;Uncle G;Rockfang;Андрей Бондарь;Auntof6;Luckas-bot;Cjrother;JL-Bot;Miesianiacal;Monkbot;Amqui;Spaceshuttlediscovery;CharlieEchoTango;Hajatvrc;NorthernThunder;Victoriaedwards;MARK S.;Saebvn;Naked Nomad;Gaamesso,Canadian Armed Forces;Canada Command;Wikipedia:Articles for creation/2006-07-03;User:AlexNewArtBot/CanadaSearchResult/archive17;User:AlexNewArtBot/MilitarySearchResult/archive41;Talk:Canadian Operational Support Command;User:Treadstone Seventy-One/To do;File:CANOSCOMbadge.png;Unification of the Canadian Armed Forces;Wikipedia:Administrators' noticeboard/IncidentArchive651;Canadian Joint Operations Command;CANOSCOM;User:Acer/Simple1;Chris Whitecross
Charles Foster (New York politician),"Charles Foster (September 2, 1823 – May 23, 1877) was an American lawyer and politician.
Foster, son of Nathaniel and Elizabeth Foster, was born in Lansingburgh, Rensselaer County, on September 2, 1823. In 1836, his parents moved to Pompey, Onondaga County, where he prepared for college. He graduated from Yale College in 1844. He studied law with Hon. Victor Birdseye, of Pompey; Hon. B. D. Noxon, of Syracuse; and Hon. John Van Buren, of Albany. In October 1847, he was admitted to the bar, but due to health issues, he was advised to pursue a more active life. He worked in the cattle trade until January 1853, when he began practicing law in Cortland, N. Y., where he remained until his death.
On October 13, 1853, he married Jane M., daughter of Richard G. Fowler, of Cortland. They had no children.
He partnered with R. H. Duell from January 1857 until 1874, when failing health forced him to retire from his profession. He had suffered from pulmonary problems for several years and spent the following three winters in Washington, but without significant improvement. From November 1875 to February 1877, he was employed as an examiner in the U. S. Patent Office. He died of consumption in Cortland on May 23, 1877, at the age of 53. In addition to local offices of trust, the only public position he held was member of the New York State Assembly in the 1870.",2885,"Category:1823 births;Category:1877 deaths;Category:19th-century American lawyers;Category:19th-century members of the New York State Legislature;Category:All articles lacking sources;Category:Articles lacking sources from May 2025;Category:Articles with hCards;Category:Articles with short description;Category:Members of the New York State Assembly;Category:New York (state) lawyers;Category:Pages using infobox person with multiple parents;Category:People from Cortland, New York;Category:People from Lansingburgh, New York;Category:Short description is different from Wikidata;Category:Yale College alumni",25,2015-07-09T22:25:43Z,2025-05-15T02:22:59Z,8233,1290482778,2025-05-15T02:22:59Z,http://mssa.library.yale.edu/obituary_record/;https://www.jstor.org/action/doBasicSearch?Query=%22Charles+Foster%22+New+York+politician&acc=on&wc=on;https://www.google.com/search?as_eq=wikipedia&q=%22Charles+Foster%22+New+York+politician;https://www.google.com/search?tbm=nws&q=%22Charles+Foster%22+New+York+politician+-wikipedia&tbs=ar:1;https://www.google.com/search?&q=%22Charles+Foster%22+New+York+politician&tbs=bkt:s&tbm=bks;https://www.google.com/search?tbs=bks:1&q=%22Charles+Foster%22+New+York+politician+-wikipedia;https://scholar.google.com/scholar?q=%22Charles+Foster%22+New+York+politician,تشارلز فوستر,Cydebot;Ser Amantio di Nicolao;Gamaliel;FrescoBot;Ewulp;Jevansen;MensanDeltiologist;Kraxler;Engineerchange;PjJnep;NatFee;Jaiquiero;Faizenprime,Charles Foster;Daniel Gott;Henry S. Randall;93rd New York State Legislature;Talk:Charles Foster (New York politician);User:Od Mishehu/New York articles;Talk:New York (state)/July 2016 move consequences/articles to rename
Chukhlomskoy Uyezd,Chukhlomskoy Uyezd (Чухломской уезд) was one of the subdivisions of the Kostroma Governorate of the Russian Empire. It was situated in the northwestern part of the governorate. Its administrative centre was Chukhloma.,878,Category:All articles needing coordinates;Category:All stub articles;Category:Articles missing coordinates without coordinates on Wikidata;Category:Central Russia geography stubs;Category:Chukhlomskoy Uyezd;Category:Kostroma Governorate;Category:Russia articles missing geocoordinate data;Category:Uezds of Kostroma Governorate,6,2020-09-01T21:03:59Z,2025-02-23T15:04:59Z,2164,1277243951,2025-04-11T01:13:33Z,http://www.demoscope.ru/weekly/ssp/rus_lan_97_uezd.php?reg=631,Чухломской уезд,Pamrel;Dewritech;Y;The Anomebot2;JJMC89 bot III;BostonMensa,Kostroma Governorate;List of uezds of the Russian Empire;Category:Chukhlomskoy Uyezd;Talk:Chukhlomskoy Uyezd;Category:People from Chukhlomskoy Uyezd;Avraamiev Monastery
Dental microwear,"Dental microwear analysis is a method to infer diet and behavior in extinct animals, especially in fossil specimens. It has been used on a variety of taxa, including hominids, victoriapithecids, amphicyonids, canids, ursids, hyaenids, hyaenodontids, equids, rhinocerotids, tragulids, diprotodontids, varanids, and elasmobranchs. Typically, the patterns of pits and scratches on the occlusal or buccal surface of the enamel are compared with patterns observed in extant species to infer ecological information. Hard foods in particular can lead to distinctive patterns (although see below). Microwear can also be used for inferring behavior, especially those related to the non-masticatory use of teeth as 'tools'. Other uses include investigating weaning in past populations. Methods used to collect data initially involved a microscope and manually collecting information on individual microwear features, but software to automatically collect data have improved markedly in recent years.

",14818,Category:CS1: long volume value;Category:Paleontology,33,2021-05-12T07:27:10Z,2025-05-25T00:19:35Z,10467,1292060740,2025-05-25T00:19:35Z,https://www.sciencedirect.com/science/article/abs/pii/S104061822030255X;https://www.sciencedirect.com/science/article/abs/pii/S104061822030505X;https://www.sciencedirect.com/science/article/abs/pii/S0031018218305832;https://www.nature.com/articles/nature03822;https://api.semanticscholar.org/CorpusID:219761015;https://api.semanticscholar.org/CorpusID:134140217;https://api.semanticscholar.org/CorpusID:4431062;https://doi.org/10.1016%2Fj.quaint.2020.05.022;https://doi.org/10.1016%2Fj.quaint.2020.08.040;https://hdl.handle.net/10072%2F399186;https://doi.org/10.1016%2Fj.palaeo.2018.10.015;https://doi.org/10.1038%2Fnature03822;https://pubmed.ncbi.nlm.nih.gov/16079844;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6545078;https://doi.org/10.1098%2Frspb.2019.0544;https://pubmed.ncbi.nlm.nih.gov/31113323;https://doi.org/10.1016%2Fj.jasrep.2016.11.026;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6065344;https://doi.org/10.1002%2Fece3.4222;https://pubmed.ncbi.nlm.nih.gov/30073064;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7486718;https://doi.org/10.1073%2Fpnas.2008149117;https://pubmed.ncbi.nlm.nih.gov/32839331;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6969033;https://doi.org/10.1038%2Fs41598-019-57403-w;https://pubmed.ncbi.nlm.nih.gov/31953510;https://doi.org/10.1016%2Fj.jhevol.2014.04.002;https://linkinghub.elsevier.com/retrieve/pii/S0047248414000840;https://pubmed.ncbi.nlm.nih.gov/25242064;https://search.worldcat.org/issn/1040-6182;https://search.worldcat.org/issn/0031-0182;https://search.worldcat.org/issn/1476-4687;https://search.worldcat.org/issn/2352-409X;https://search.worldcat.org/issn/2045-7758;https://search.worldcat.org/issn/0027-8424;https://search.worldcat.org/issn/2045-2322;https://doi.org/10.1186%2Fs13358-024-00322-9;https://search.worldcat.org/issn/1664-2376;https://ui.adsabs.harvard.edu/abs/2020PNAS..11722264W;https://hdl.handle.net/10045%2F146180;https://doi.org/10.1038%2Fs41598-019-48154-9;https://pubmed.ncbi.nlm.nih.gov/31406164;https://link.springer.com/article/10.1038/s41598-019-48154-9;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6690991;https://www.sciencedirect.com/science/article/pii/S0031018212002568?casa_token=CEeLNlkKdHwAAAAA:ur2LLrhQNKy8ZkpBc06-jlXIU0d-XHyUjsRDL-L0zcg_ksqRy2X3-qjok79x6S93ZR2sPcieQQc;https://doi.org/10.1016%2Fj.palaeo.2012.05.005;https://www.sciencedirect.com/science/article/pii/S0305440320300169?via%3Dihub;https://doi.org/10.1016%2Fj.jas.2020.105092;https://www.sciencedirect.com/science/article/pii/S0031018208005245?casa_token=4k10dLl_PS0AAAAA:wQr7A-x0xfivvPUBG4Jjz3m0W0kR9A_jsUKLIIjK-k4d-31tjjOo4dyuGik1zOhkF8ii9h0nr3E;https://doi.org/10.1016%2Fj.palaeo.2008.09.004;https://doi.org/10.4202%2Fapp.2011.0053;https://search.worldcat.org/issn/0567-7920;https://bioone.org/journals/acta-palaeontologica-polonica/volume-57/issue-3/app.2011.0053/A-Dental-Microwear-Texture-Analysis-of-the-Mio-Pliocene-Hyaenids/10.4202/app.2011.0053.full;https://www.researchgate.net/publication/261878257_Dental_Microwear_and_Diet_As_Indicators_of_Geographic_and_Cultural_Contexts_in_Human_Evolution;https://www.sciencedirect.com/science/article/pii/S0031018221004600?casa_token=P_KiPpDzLLAAAAAA:qP4KN2RtMwoeoDSW2gDLDHJot8_CDREaB5ng70tY0ETvvl2qckKobsYx_biaBvdJLcKl6iAEEqM;https://doi.org/10.1016%2Fj.palaeo.2021.110675;https://www.sciencedirect.com/science/article/pii/S003101821200301X?casa_token=mPguY0WpchQAAAAA:WT7VLOZU2SJ_BFakZsRn78_VkiJOl85L2Rob_T-fhGB-z0g4gs2dLuRqwLzk25iDYpI4Lu7rVR4;https://doi.org/10.1016%2Fj.palaeo.2012.05.026;https://doi.org/10.26879%2F1163;https://palaeo-electronica.org/content/2021/3433-beon-1-rhinocerotids-ecology;https://www.sciencedirect.com/science/article/pii/S0047248424001544?casa_token=J_U1OES-LoIAAAAA:mBeUUTC8dLeTjH0A1UAPaMxZ_eggvXPKO7Ec8L3Y3RNAPIT6er9LRbqpldGAsfgTB7gdO0WckUw;https://doi.org/10.1016%2Fj.jhevol.2024.103646,,Citation bot;GünniX;John of Reading;Gpkp;Nemo bis;Þjarkur;Keith D;Dentalanthropology;Grasyop;PUECH P.-F.;OAbot;Anteosaurus magnificus;589q,Aurochs;Homo habilis;Australopithecus;Cave bear;University of Arkansas;Dire wolf;Platybelodon;Teleoceras;Steppe bison;Ornithopoda;Aegyptopithecus;Pygmy mammoth;Entelodon;Mosasaurus;Paraceratherium;Megaladapis;Dimorphodon;Procoptodon;Macrauchenia;Sumatran orangutan
Florrie Evans,"Annie Florence Evans known as Florrie Evans (15 December 1884 – 11 December 1967) was a Welsh revivalist, and later missionary, who was credited with starting the 1904–1905 Welsh revival.",3727,Category:1884 births;Category:1967 deaths;Category:Articles with hCards;Category:Articles with short description;Category:People from Ceredigion;Category:Short description matches Wikidata;Category:Use British English from September 2022;Category:Use dmy dates from September 2022;Category:Welsh Christian missionaries,22,2022-09-04T14:17:40Z,2025-02-26T05:55:42Z,7555,1277702888,2025-05-08T17:57:42Z,https://biography.wales/article/s12-EVAN-FLO-1884;https://churchmodel.org.uk/portfolio/welsh-churches/;https://books.google.com/books?id=zlYeiJS28oQC&dq=florrie+evans&pg=RA9-PA14;https://books.google.com/books?id=uVMkKxj4IWgC&dq=florrie+evans&pg=PA325,Florrie Evans,,New Quay;1904–1905 Welsh revival;1967 in Wales;List of people with surname Evans;1884 in Wales;Florrie (disambiguation);Wikipedia:WikiProject Wales/List of Welsh people on The Dictionary of Welsh Biography;Wikipedia:WikiProject Wales/Awaken the Dragon/Women biographies;Wikipedia:WikiProject Wales/Dictionary of Welsh Biography;Joseph Jenkins (pastor);Wikipedia:WikiProject Women in Red/Meetup/240;Wikipedia:WikiProject Women in Red/Metrics/September 2022;Talk:Florrie Evans;Annie Florence Evans;May John;Wikipedia:WikiProject Wales/Article List;Wikipedia:WikiProject Wales/Watch All
French frigate Didon (1828),The Didon was a 60-gun Dryade-class first rank frigate of the French Navy.,2186,Category:1828 ships;Category:Age of Sail frigates of France;Category:Dryade-class frigates;Category:Frigates of the French Navy;Category:Maritime incidents in May 1836,18,2012-06-20T07:34:53Z,2023-08-06T07:18:42Z,8447,1168976430,2025-05-27T07:02:33Z,https://search.worldcat.org/oclc/165892922,,Cydebot;Mjroots;CommonsDelinker;Rama;Lyndaship;Omnipaedista;Tom.Reding;Mdnavman;Llammakey;Monkbot;ÄDA - DÄP,USS Brandywine;List of sail frigates of France;French ship Montebello (1812);User:Mjroots/Articles;French ship Trocadéro (1824);French corvette Diligente (1801);Adventure (1834 ship);Stirling Castle (1829 brig);Battle of the Tagus (1831);French ship Didon;Dryade-class frigate;Talk:French frigate Didon (1828);User talk:Rama/Archive 5;Stephen Lushington (Royal Navy officer);Royal Tar fire;User:Paska rotor;Camden (1799 ship);Eliza (1804 ship);Francis Spaight;Lord Melville (1825 ship)
German submarine U-845,German submarine U-845 was a Type IXC/40 U-boat built for Nazi Germany's Kriegsmarine during World War II.,9200,Category:1943 ships;Category:Articles with short description;Category:CS1 German-language sources (de);Category:Coordinates on Wikidata;Category:German Type IX submarines;Category:Maritime incidents in March 1944;Category:Pages using gadget WikiMiniAtlas;Category:Ship infoboxes without an image;Category:Ships built in Bremen (state);Category:Short description is different from Wikidata;Category:U-boats commissioned in 1943;Category:U-boats scuttled in 1944;Category:Use dmy dates from October 2014;Category:World War II submarines of Germany,53,2014-10-09T15:46:14Z,2024-08-27T00:20:12Z,18478,1242474658,2025-05-29T16:55:33Z,http://uboat.net/boats/u845.htm;http://uboat.net/boats/successes/u845.html;https://geohack.toolforge.org/geohack.php?pagename=German_submarine_U-845&params=48_20_N_20_33_W_;https://books.google.com/books?id=vXKwAAAAIAAJ;https://books.google.com/books?id=Udg-0AEACAAJ,الغواصة الألمانية يو-845;U 845;او-۸۴۵;Unterseeboot 845;U–845;U-845;U-845;U-845,MB;AnomieBOT;Citation bot;Mjroots;Isaidnoway;BrownHairedGirl;Comrade John;David Eppstein;Mdnavman;Jonesey95;Parsecboy;Snowdawg;Keith D;Lotje;Monkbot;ÄDA - DÄP,Type IX submarine;German submarine U-862;German submarine U-190;German submarine U-869;USS Tunny (SS-282);USS Tullibee (SS-284);List of U-boats of Germany;German submarine U-853;USS Gunnel;German submarine U-884;C and D-class destroyer;Flower-class corvette;German submarine U-28 (1936);German submarine U-537;USS Sand Lance (SS-381);E and F-class destroyer;German submarine U-1230;German submarine U-534;German submarine U-852;German submarine U-859
Herring Island (Victoria),"Herring Island is a small 3.2 hectares (7.9 acres) artificial island located in Melbourne's Yarra River at South Yarra, approximately 3 kilometres (1.9 mi) from the city centre. It is the only island in the Yarra River.
Herring Island was formed in 1928 by cutting a channel through an old basalt quarry. The island was leased for many years by the scout movement, who named it after their patron, Sir Edmund Herring, the Lieutenant-Governor of Victoria and Chief Justice of the Supreme Court of Victoria. The Island contains indigenous vegetation, and provides important habitat for native fauna, particularly birds. It is currently managed by Parks Victoria and used as a sculpture park. Sculptures include works by Jill Peck, Ellen Jose, and Andy Goldsworthy.",10466,Category:1928 establishments in Australia;Category:All Wikipedia articles written in Australian English;Category:Articles with short description;Category:Artificial islands of Australia;Category:City of Yarra;Category:Coordinates on Wikidata;Category:Islands of Victoria (state);Category:Metropolitan parks of Victoria (state);Category:Pages using gadget WikiMiniAtlas;Category:Pages using the Kartographer extension;Category:River islands of Australia;Category:Short description matches Wikidata;Category:Use Australian English from May 2024;Category:Yarra River,70,2006-11-10T03:54:36Z,2024-05-04T10:21:25Z,48071,1222172209,2025-05-28T20:23:00Z,http://www.theage.com.au/travel/island-surprise-just-a-hop-skip-and-a-punt-from-city-highrise-20120105-1pmwh.html;http://parkweb.vic.gov.au/explore/parks/herring-island;http://www.herringislandfestival.org.au/;http://www.onlymelbourne.com.au/melbourne_details.php?id=17877;http://www.herringisland.org/;http://www.herringisland.org/arts.htm;https://www.landcarevic.org.au/groups/portphillipwesternport/fo-herring-is/;https://geohack.toolforge.org/geohack.php?pagename=Herring_Island_(Victoria)&params=37.8332_S_145.0031_E_dim:500_region:AU-VIC;https://geohack.toolforge.org/geohack.php?pagename=Herring_Island_(Victoria)&params=37.8332_S_145.0031_E_type:isle,Herring Island (pulo sa Ostralya);Herring Island (ö i Australien),Yobot;SchreiberBike;Deor;Hawkeye7;Waacstats;Crowsus;JarrahTree;Sd2315g86435sdsdg;Peter Horn;Grutness;Rangasyd;MarylandArtLover;The Anomebot2;Enix150;JustAGal;Liverpoolpics;Tbhotch;Kbdankbot;Mattinbgn;Ozzieboy;Kku;Iamthinking2202;ThylacineHunter;Crusoe8181;PaintedCarpet;Cuddy Wifter;Rwes;Tony.wheeler;Ara16;Onesland;JJMC89 bot III;WEELOO77LL;Panamitsu,"Protected areas of Victoria;French Island (Victoria);Yarra River;Phillip Island;List of islands of Australia;Andy Goldsworthy;Burnley, Victoria;Western Port;Mud Islands;Merri Creek;Wattle Park, Melbourne;Brimbank Park;Westerfolds Park;Raymond Island;Boundary Islet;Gabo Island;Albert Park and Lake;Mullum Mullum Creek;Werribee Park;Cliffy Island"
Minimum ignition energy,"The minimum ignition energy (MIE) is a safety characteristic in explosion protection and prevention which determines the ignition capability of fuel-air mixtures, where the fuel may be combustible vapor, gas or dust.  It is defined as the minimum electrical energy stored in a capacitor, which, when discharged, is sufficient to ignite the most ignitable mixture of fuel and air under specified test conditions. The MIE is one of the assessment criteria for the effectiveness of ignition, e.g. the discharge of electrostatic energy, mechanical ignition sources or electromagnetic radiation. It is an important parameter for the design of the protective measure of ""avoidance of effective ignition sources"".",1571,Category:All stub articles;Category:Chemical process stubs;Category:Chemical reaction stubs;Category:Combustion;Category:Energy stubs;Category:Safety,38,2009-01-15T19:30:01Z,2023-12-26T17:44:56Z,84121,1191932638,2025-05-22T03:26:17Z,https://staubex.ifa.dguv.de/HTML-Dokumente/ERLT8E.HTM;https://web.archive.org/web/20190902120011/https://staubex.ifa.dguv.de/HTML-Dokumente/ERLT8E.HTM;https://web.archive.org/web/20210815123308/https://downloadcenter.bgrci.de/resource/downloadcenter/downloads/R003_Gesamtdokument.pdf;https://downloadcenter.bgrci.de/resource/downloadcenter/downloads/R003_Gesamtdokument.pdf,Mindestzündenergie;最小着火エネルギー;Minimalna energija paljenja;最小點火能,"AnomieBOT;Fadesga;Andy Dingley;Addbot;John B123;Ehrenkater;GoingBatty;Shoefly;Me, Myself, and I are Here;Anna Frodesiak;Tony1;GreenC bot;SporkBot;Life of Riley;Jonkerz;ErikHaugen;Steveprutz;Curbon7;WikiCleanerBot;Ensahequ;Jcaiken;Steffen 962;TL;Cedelmwood;Trex4321",Burning glass;Combustion;Torch;Flint;Match;Bow drill;Bonfire;Campfire;Static electricity;Fire pit;Autoignition temperature;Lighter;Tinder;Firewood;Wood fuel;Tinderbox;Slow match;Black match;Matchbook;Fire making
Ministry of Energy and Power Development,"The Ministry of Energy and Power Development is a government ministry, responsible for energy and electricity in Zimbabwe. The minister is Soda Zhemu. It oversees:

Zimbabwe Electricity Supply Authority
Zimbabwe Energy Regulatory Authority",731,Category:All stub articles;Category:Articles with short description;Category:Energy in Zimbabwe;Category:Energy ministries;Category:Government ministries of Zimbabwe;Category:Short description matches Wikidata;Category:Use dmy dates from November 2019;Category:Zimbabwean government stubs,21,2009-02-14T22:45:27Z,2025-04-15T10:32:09Z,21719,1285718541,2025-05-24T20:55:47Z,https://www.theindependent.co.zw/2018/09/14/new-cabinet-an-average-team/,,InternetArchiveBot;Necrothesp;Gilliam;Yobot;BrownHairedGirl;Namiba;Rich Farmbrough;MZMcBride;Chongkian;Reedy Bot;Mr Accountable;Lklundin;Babakathy;MonsterHunter32;ChieftanTartarus;DB1729,Kirsty Coventry;White Zimbabweans;Joram Gumbo;Munyati;Elias Mudzuri;Patrick Chinamasa;David Parirenyatwa;Oppah Muchinguri;Obert Mpofu;Kembo Mohadi;Sithembiso Nyoni;Munacho Mutezo;Cain Mathema;Supa Mandiwanzira;Cabinet of Zimbabwe;Talk:Ministry of Energy and Power Development;Michael Bimha;Constantino Chiwenga;Ministry of energy;Energy in Zimbabwe
Murrumbidgee District,"The Murrumbidgee District was a district (also called a squatting district, pastoral district or grazing district) used in New South Wales in the nineteenth century to refer to the land between the Murrumbidgee River and Murray River, that is now mostly known as the Riverina region. Some maps show the district included the parts of what is now the Australian Capital Territory that was to the west of the Murrumbidgee River.  The district was originally one of the districts used to refer to the area outside the limits of location, but later continued to be used as the name after counties were proclaimed within this area. It went out of use after 1884, when new districts were proclaimed.
In 1841 it had a population of 1139, with 180,654 sheep and 62,848 cattle, 1517 horses, with 1,795 acres (7 km2) in cultivation and 147 stations, according to an 1841 map.
In 1843 it had a population of 1463, with 226,682 sheep, 93,458 cattle, 2315 horses, 2,400 acres (10 km2) in cultivation and 172 stations.
In 1852 the district included 12 million acres (49,000 km2) total, with 400,000 sheep, 100,000 cattle and 3,000 horses
Early maps show the eastern boundary of the district being the Murrumbidgee River, while an 1871 map shows the eastern boundary being the Goodradigbee River, with the Monaro district in the area between the Goodradigbee and the Murrumbidgee.
It comprised the area of the counties of Wakool, Townsend, Cadell, Denison, Urana, Hume, Goulburn, Wynyard, Mitchell, Selwyn, Buccleuch and part of Caira and Waradgery.",3818,Category:All Wikipedia articles written in Australian English;Category:Articles with short description;Category:History of New South Wales;Category:Short description matches Wikidata;Category:Use Australian English from February 2018;Category:Use dmy dates from February 2018;Category:Webarchive template archiveis links,13,2007-08-28T02:25:30Z,2024-03-30T09:17:55Z,16058,1216309239,2025-05-08T16:19:15Z,http://nla.gov.au/nla.map-nk5348;http://www.oldwelshbooks.net/hlc/ga/ga07.html;http://nla.gov.au/nla.map-rm1669;http://nla.gov.au/nla.map-rm3062;http://nla.gov.au/nla.map-rm881;http://nla.gov.au/nla.map-f62;https://archive.today/20070527081324/http://www.oldwelshbooks.net/hlc/ga/ga07.html,,InternetArchiveBot;SmackBot;Rjwilmsi;Lightbot;Redrose64;Coolabahapple;Lightmouse;Bhadani;CoolieCoolster;Roke;AussieLegend2;Rlink2,Murrumbidgee;Riverina;Frederick Walker (native police commandant);Australian native police;Lands administrative divisions of New South Wales;User:AlexNewArtBot/AustraliaSearchResult/archive10;Talk:Murrumbidgee District;All That Swagger;Border Police of New South Wales;User:Gemgemyellowgem/sandbox;Jacob John Halley;List of Australian tornadoes
NCH,"NCH may refer to:

IATA airport code for Nachingwea Airport
National Children's Home (now Action for Children), a children's charity in the United Kingdom
National Concert Hall, in Dublin, Ireland
National Council for Homeopathy, Pakistan
National Corvette Homecoming, an annual Chevrolet event
NCH Corporation, American industrial supply company
NCH Software, Australia
New children's hospital, Dublin, Ireland, an unnamed hospital under construction
New College of the Humanities, now Northeastern University – London, England
Nicoll Highway MRT station, Singapore
Northwest Community Hospital in Arlington Heights, Illinois",727,Category:All article disambiguation pages;Category:All disambiguation pages;Category:Disambiguation pages;Category:Short description is different from Wikidata,67,2008-09-17T16:58:35Z,2024-06-02T20:29:42Z,18529,1226960521,2025-05-13T13:18:25Z,,NCH;Nch;NCH,Ary29;Cydebot;RussBot;ClueBot NG;GB fan;Addbot;SlimVirgin;Pol098;GrindtXX;A bit iffy;Michael Bednarek;Ravensfire;Msrasnw;GMc;GoAheadFan95;Mysterymanblue;Sweepy;AnOddName;Alifazal;Richard349;St0w;Jsaksa;LOLPOP1212;Froggy1980,Wikipedia:TLAs from MAA to PZZ;User:ALargeElk;User:Anna512/ContVan;Talk:Cyberbullying/Archive 1;User:Mervyn/Scratch3;Talk:Child pornography/Archive 3;Talk:NCH;User:Jmckeon ie/svav;NCH (disambiguation);Wikipedia talk:WikiProject Nursing/Archive 1;Wikipedia:WikiProject History Merge/28;User:Jmckeon ie/svav/Selected victims' advocate/5;User:PotatoBot/Lists/Dabs without ISO 639 codes;Wikipedia:WikiProject Academic Journals/Journals cited by Wikipedia/N16;Wikipedia:Disambiguation pages with links/February 2013;User talk:LOLPOP1212;User:Skysmith/Missing topics about Hospitals;User:Brycehughes/pad2;User talk:119.152.140.108;Wikipedia:Requests for page protection/Archive/2018/06
Pilar Ramírez,"Pilar Ramírez Laguna (February 28, 1964 – May 24, 2017) was a Mexican competitor in women's synchronized swimming. She represented her native country at the 1984 Summer Olympics, and claimed the bronze medal in duet at the 1983 Pan American Games in Caracas alongside Claudia Novelo.",2350,Category:1964 births;Category:2017 deaths;Category:All stub articles;Category:Articles with Spanish-language sources (es);Category:Articles with short description;Category:Medalists at the 1983 Pan American Games;Category:Mexican swimming biography stubs;Category:Mexican synchronized swimmers;Category:Olympic synchronized swimmers for Mexico;Category:Pages using infobox sportsperson with textcolor;Category:Pages using infobox swimmer with nationality parameter;Category:Pan American Games bronze medalists for Mexico;Category:Pan American Games medalists in synchronized swimming;Category:Short description is different from Wikidata;Category:Synchronized swimmers at the 1983 Pan American Games;Category:Synchronized swimmers at the 1984 Summer Olympics,28,2008-07-29T21:05:32Z,2023-05-25T15:09:49Z,8865,1156975688,2025-05-20T16:08:49Z,https://www.esto.com.mx/271504-fallecio-pilar-ramirez-pionera-de-nado-sincronizado-olimpico/;https://www.sports-reference.com/olympics/athletes/ra/pilar-ramirez-1.html;https://web.archive.org/web/20200418045848/https://www.sports-reference.com/olympics/athletes/ra/pilar-ramirez-1.html,,KolbertBot;Yobot;Magioladitis;BG19bot;Waacstats;Katya0133;Zyxw;GreenC bot;Full-date unlinking bot;Chanheigeorge;Jevansen;Canadian Paul;Borgarde;Monkbot;Suonii180;Inwind;Simeon;Uncle G's major work 'bot;ChicXulub;Darius Dhlomo;Motor bmw;JJMC89 bot III;SdkbBot,Mexico at the 1984 Summer Olympics;List of synchronised swimmers;Synchronized swimming at the 1983 Pan American Games;Ramírez (surname);Claudia Novelo;Talk:Pilar Ramírez;User:Jarry1250/Swimmers;Synchronized swimming at the 1984 Summer Olympics – Women's solo;User:Moonriddengirl/CCI 'bot stalk report/7000;Pilar (given name);User:Me2hero/assessment/Swimming04;Pilar Ramirez;Synchronized swimming at the 1984 Summer Olympics – Women's duet
